Altitude (m),gravity acceleration (m/s^2)
0,9.80665
250,9.805880414
500,9.80511092
750,9.804341515
1000,9.803572201
1250,9.802802978
1500,9.802033845
1750,9.801264803
2000,9.800495851
2250,9.79972699
2500,9.798958219
2750,9.798189539
3000,9.797420949
3250,9.79665245
3500,9.795884041
3750,9.795115722
4000,9.794347494
4250,9.793579356
4500,9.792811309
4750,9.792043351
5000,9.791275485
5250,9.790507708
5500,9.789740022
5750,9.788972426
6000,9.78820492
6250,9.787437505
6500,9.78667018
6750,9.785902945
7000,9.7851358
7250,9.784368746
7500,9.783601782
7750,9.782834908
8000,9.782068124
8250,9.78130143
8500,9.780534826
8750,9.779768313
9000,9.779001889
9250,9.778235556
9500,9.777469313
9750,9.776703159
10000,9.775937096
10250,9.775171123
10500,9.77440524
10750,9.773639447
11000,9.772873744
11250,9.772108131
11500,9.771342608
11750,9.770577174
12000,9.769811831
12250,9.769046578
12500,9.768281414
12750,9.767516341
13000,9.766751357
13250,9.765986463
13500,9.76522166
13750,9.764456945
14000,9.763692321
14250,9.762927787
14500,9.762163342
14750,9.761398987
15000,9.760634722
15250,9.759870547
15500,9.759106461
15750,9.758342465
16000,9.757578559
16250,9.756814742
16500,9.756051016
16750,9.755287378
17000,9.754523831
17250,9.753760373
17500,9.752997005
17750,9.752233726
18000,9.751470537
18250,9.750707438
18500,9.749944428
18750,9.749181508
19000,9.748418677
19250,9.747655936
19500,9.746893284
19750,9.746130722
20000,9.745368249
20250,9.744605866
20500,9.743843572
20750,9.743081368
21000,9.742319253
21250,9.741557227
21500,9.740795291
21750,9.740033444
22000,9.739271687
22250,9.738510019
22500,9.73774844
22750,9.736986951
23000,9.736225551
23250,9.735464241
23500,9.734703019
23750,9.733941887
24000,9.733180844
24250,9.732419891
24500,9.731659026
24750,9.730898251
25000,9.730137565
25250,9.729376968
25500,9.728616461
25750,9.727856042
26000,9.727095713
26250,9.726335473
26500,9.725575322
26750,9.72481526
27000,9.724055288
27250,9.723295404
27500,9.722535609
27750,9.721775904
28000,9.721016287
28250,9.72025676
28500,9.719497321
28750,9.718737972
29000,9.717978711
29250,9.71721954
29500,9.716460457
29750,9.715701463
30000,9.714942559
30250,9.714183743
30500,9.713425016
30750,9.712666378
31000,9.711907829
31250,9.711149369
31500,9.710390997
31750,9.709632715
32000,9.708874521
